volumn	time
1166	115.49
1010	78.18
1019	116.57
1019	120.38
1125	77.05
1092	78.82
1078	7576.16
1099	151.56
1223	114.39
1122	185.07
1178	113.96
1160	81.51
1149	114.95
1123	221.13
1118	77.58
1185	180.67
1179	78.41
1220	175.77
1139	114.39
1213	143.11
1085	223.74
1156	215.45
1190	112.31
1199	145.31
1201	175.4
1214	79.37
1241	140.15
1174	112.61
1191	210.59
1189	77.98
1189	178.03
1135	147.57
1184	214.84
1304	201.02
1238	76.32
1167	80.79
1215	109.62
1299	108.98
1296	109.48
1296	137.3
1275	107.36
1310	106.6
1271	218.17
1220	144.81
1327	134.72
1219	75.46
1252	219.93
1250	75.04
1300	105.37
1321	76.81
1307	137.85
1316	77.69
1325	106.65
1274	202.91
1291	140.29
1307	105.51
1302	105.81
1328	255.13
1297	106.6
1319	134.61
1370	74.61
1340	223.77
1349	108.28
1382	75.46
1284	136.69
1321	104.79
1387	14641.65
1281	140.71
1271	140.89
1305	75.14
1260	139.06
1286	141.62
1258	171.29
1263	75.84
1320	138.9
1299	231.13
1333	75.96
1311	203.33
1319	136.32
1188	144.98
1358	136.23
1354	76.22
1264	108.28
1289	75.36
1334	77.77
1238	109.45
1286	167.94
1215	207.17
1350	164.15
1209	110.44
1280	106.93
1269	103.52
1276	168.18
1294	137.5
1362	166.12
1368	74.5
1323	76.03
1373	104.75
1170	108.5
1174	144.18
1263	168.26
1235	109.16
1222	175.55
1160	114.59
1220	74.58
1277	171.51
1237	138.66
1260	170.5
1242	174.02
1274	139.91
1279	108.94
1200	79.4
1288	109.55
1275	106.48
1210	109.48
1231	138.46
1221	174.35
1213	143.83
1230	110.24
1207	143.72
1182	79.63
1224	106.65
1185	110.93
1249	78.03
1156	108.56
1151	75.38
1263	3276.05
1190	112.03
1195	76.37
1190	110.85
1223	141.41
1115	184.78
1211	111.44
1208	80.93
1196	144.9
1163	76.69
1351	78.52
1151	112.05
1175	113.44
1204	177.6
1158	78.97
1169	112.99
1183	142.44
1173	145.3
1141	182.12
1149	113.12
1158	145.56
1185	111.15
1083	75.74
1137	147.02
1186	77.64
1138	113.45
1125	150.25
1137	115.71
1081	77.05
1195	176.66
1144	112.03
1080	155.03
1150	147.21
1101	153.87
1167	182.62
1167	214.64
1086	152.65
1123	219.35
1111	145.16
1119	145.31
1112	111.93
1091	222.62
1139	112.26
1090	155.44
1125	78.07
1081	79.3
1130	114.16
1084	150.16
1134	112.01
1081	115.53
1123	82.71
1089	149.38
1128	149.52
1184	145.29
1191	77.29
1207	175.17
1175	213.45
1158	148.74
1182	112.48
1068	151.82
1116	76.54
1148	77.17
1099	115.03
1150	82.12
1126	222.12
1143	254.98
1202	113.14
1254	139.59
1191	140.46
1132	149.12
1146	182.14
1143	182.89
1192	114.16
1182	180.11
1189	82.37
1171	78.54
1152	79.63
1181	143.56
1104	111.1
1108	112.58
1167	182.02
1195	76.29
1184	143.7
1077	146.4
1116	148.9
1161	113.7
1161	148.04
1136	79.28
1139	78.34
1095	110.55
1177	109.73
1163	111.42
1169	79.42
1142	74.58
1089	185.69
1162	75.91
1086	151.92
1145	145.64
1146	80.91
1173	177.94
1091	116.11
1130	112.07
1104	109.78
1159	110.16
1069	110.82
1168	215.72
1119	75.69
1101	112.01
1052	116.28
1128	115.65
1076	115.37
1093	146.56
1087	223.63
1049	78.26
1127	185.36
1171	178.2
1180	75.01
1066	116.25
1094	184.79
1098	150.95
1124	21699
1100	115.53
1119	154.91
1130	78.88
1163	115.23
1123	147.78
1174	249.67
1183	79.78
1148	146.35
1096	112.27
1121	185.3
1184	143.87
1152	249.27
1134	77.58
1118	149.45
1188	147.63
1232	143.87
1228	237.75
1249	107.73
1187	78.61
1217	177.13
1191	111.87
1169	144.65
1227	173.87
1239	176.36
1214	110.14
1232	144.22
1161	112.6
1186	177.43
1278	143.57
1316	138.55
1232	143.4
1273	141.95
1278	206.05
1255	110.26
1249	205.04
1349	107.12
1290	79.53
1358	104.85
1291	74.86
1265	77.43
1282	74.34
1276	110.44
1365	105.52
1356	133.58
1285	77.61
1280	140.34
1217	73.3
1202	173.77
1339	134.48
1357	163.13
1337	136.1
1377	161.36
1354	134.29
1359	74
1354	135.93
1260	140.15
1288	165.46
1233	108.38
1385	104.98
1369	3025.74
1349	106.13
1228	172.56
1327	135.65
1398	162.07
1263	108.57
1361	106.21
1304	77.43
1315	104.94
1349	168.77
1396	79.28
1419	185.81
1410	102.54
1366	164.11
1431	104.79
1433	132.3
1440	157.97
1328	134.44
1406	103.92
1334	255.67
1266	106.62
1299	109.03
1365	134.29
1316	75.46
1399	101.3
1316	136.93
1290	106.92
1309	136.69
1402	134.04
1302	107.68
1340	135.75
1289	169.62
1251	75.11
1317	134.94
1205	107.86
1384	160.22
1314	136.38
1317	168.14
1260	107.36
1344	137.05
1279	76.69
1333	106.49
1324	76.42
1290	107.27
1301	139.04
1305	136.77
1290	109.56
1337	78.6
1269	110.62
1287	108.8
1268	141.49
1287	110.07
1351	106.2
1309	140.62
1294	260.28
1245	110.04
1234	77.48
1199	73.47
1257	139.85
1342	134.95
1361	6013.83
1295	78.57
1268	171.92
1271	109.17
1317	166.67
1260	77.1
1288	200.21
1379	104.31
1418	103.65
1391	75.84
1315	109.22
1353	104.7
1342	136.19
1255	108.54
1340	164.63
1313	167.28
1331	137.08
1334	107.82
