volumn	rate	time
179	98.32%	338.22
178	94.94%	116.72
166	98.80%	110.37
134	96.27%	115.81
118	94.92%	106.97
128	96.88%	104.84
144	94.44%	117.42
131	96.95%	100.15
143	98.60%	98.5
130	97.69%	407.97
125	100%	100.08
119	96.64%	106.83
152	98.68%	103.65
140	96.43%	104.81
120	96.67%	441.34
135	99.26%	101.72
135	96.30%	108.21
153	95.42%	366.08
159	94.97%	352.44
174	95.98%	101.08
122	95.08%	439.4
120	94.17%	115.64
111	98.20%	102.86
94	96.81%	107.57
142	97.18%	127.42
92	100%	109.74
96	97.92%	106.51
119	91.60%	105.51
144	97.22%	381.92
115	94.78%	108.23
124	97.58%	103.3
118	96.61%	444.18
94	98.94%	111.31
95	96.84%	108.08
103	95.15%	39328.5
93	93.55%	541.25
108	98.15%	102.69
100	96%	113.07
93	96.77%	102.75
74	98.65%	99.62
71	95.77%	108.14
100	96%	108.69
102	97.06%	1283.16
94	98.94%	109.09
99	100%	110.58
71	95.77%	669.01
83	98.80%	104.78
76	96.05%	104.89
60	98.33%	102.37
66	96.97%	714.68
62	90.32%	95.52
96	94.79%	107.96
102	96.08%	103.86
99	94.95%	108.46
88	97.73%	105.34
109	96.33%	107.71
107	95.33%	111.86
97	97.94%	100.84
62	95.16%	105.71
85	96.47%	101.99
95	94.74%	110.49
83	95.18%	109.41
92	97.83%	536.65
86	93.02%	103.64
61	93.44%	126.74
91	97.80%	119.32
72	94.44%	673.22
79	97.47%	119.14
77	96.10%	629.31
75	94.67%	634.69
50	98%	101.28
81	95.06%	599.85
63	96.83%	147.7
83	97.59%	585.61
54	100%	123.8
62	93.55%	768.11
62	96.77%	762.76
81	96.30%	108.38
61	96.72%	134.23
68	97.06%	116.53
60	95%	102.1
69	97.10%	119.45
65	100%	121.69
66	93.94%	98.2
85	90.59%	121.42
76	92.11%	103.55
74	94.59%	106.14
48	91.67%	115.75
33	90.91%	120.61
46	91.30%	106.24
50	98%	109.66
47	97.87%	101.3
57	92.98%	104.91
49	100%	105.18
62	98.39%	100.47
45	91.11%	101.09
53	94.34%	99.85
60	98.33%	109.88
52	100%	102.33
46	93.48%	106.48
66	96.97%	710.18
54	96.30%	100.89
53	94.34%	103.19
42	95.24%	1086.71
75	96%	108.95
57	91.23%	101.6
32	87.50%	98.66
28	89.29%	100.82
36	100%	105.75
31	93.55%	98.81
47	97.87%	173.77
39	97.44%	104.69
51	98.04%	105.51
40	95%	103.58
49	93.88%	99.69
44	90.91%	100.73
43	93.02%	104.02
41	97.56%	98.32
43	90.70%	97.3
50	98%	97.8
56	92.86%	122.32
57	92.98%	100.68
61	96.72%	98.2
55	89.09%	100.49
53	96.23%	100.77
49	100%	105.14
29	100%	115.45
31	96.77%	100.68
39	92.31%	1116.46
39	92.31%	98.82
36	97.22%	108.25
33	93.94%	103.7
33	93.94%	96.64
35	91.43%	103.31
30	93.33%	107.8
36	83.33%	103.31
28	96.43%	108.86
35	94.29%	97.09
43	95.35%	93.07
29	100%	116.07
31	100%	109.1
42	97.62%	99.36
36	97.22%	111.58
35	100%	98.69
49	89.80%	100.9
41	100%	100.15
48	100%	937.69
58	89.66%	101.62
33	93.94%	96.97
39	97.44%	109.31
39	92.31%	104.92
18	77.78%	95.33
26	96.15%	93.65
29	89.66%	102.38
29	96.55%	278727.93
40	97.50%	103.68
35	94.29%	143.46
32	96.88%	128.19
30	100%	116.07
31	96.77%	102.35
44	100%	127.23
45	97.78%	127
39	97.44%	119.64
41	97.56%	106.46
40	92.50%	105.8
51	92.16%	108.86
35	97.14%	107.49
44	97.73%	105.16
52	100%	104
50	98%	110.72
36	97.22%	115.31
23	95.65%	104.52
18	88.89%	117.56
33	96.97%	1306.12
25	96%	111.44
30	93.33%	105.77
31	100%	101.74
26	96.15%	97.54
28	100%	130.86
27	100%	120.26
30	93.33%	102.23
31	96.77%	112.61
40	92.50%	100.18
33	84.85%	101.52
28	92.86%	93.89
21	95.24%	99.67
20	100%	98.1
12	91.67%	92.67
28	100%	93
31	96.77%	108.97
23	100%	117.35
21	90.48%	106.95
31	100%	121.84
24	100%	126.38
24	100%	101.63
35	91.43%	106.14
27	92.59%	107.74
18	94.44%	102.33
31	93.55%	111.97
29	96.55%	111.07
32	100%	108.06
34	94.12%	100.12
38	100%	103.21
30	96.67%	115.2
19	100%	127.37
17	94.12%	129
17	94.12%	142.94
20	95%	102.15
26	100%	110.88
17	94.12%	105.76
24	100%	103.75
21	100%	135.43
24	91.67%	124.5
32	100%	110.25
20	90%	99.05
22	90.91%	97.23
20	95%	98.2
23	95.65%	108
24	100%	1779.96
23	91.30%	103.22
35	82.86%	108.83
34	94.12%	103.47
27	96.30%	101.81
22	95.45%	100.36
30	93.33%	114.27
29	96.55%	102.21
30	100%	97.23
30	100%	100.27
38	94.74%	102.76
14	78.57%	110.71
34	100%	109.85
37	97.30%	98.59
11	81.82%	101.09
21	100%	98.95
20	100%	107.35
23	100%	1844.39
12	100%	100.83
27	92.59%	98.56
23	100%	101.61
40	100%	106.53
39	100%	111.79
16	93.75%	106.69
26	80.77%	104.23
35	97.14%	107.94
31	96.77%	101.87
35	88.57%	1245.43
30	96.67%	107.4
38	92.11%	107.55
25	96%	109.96
34	97.06%	113.18
40	97.50%	108.33
31	100%	100.48
26	92.31%	104.69
21	90.48%	134.57
26	96.15%	145.5
18	94.44%	94.67
27	100%	103.93
25	92%	101.76
23	95.65%	102.61
37	100%	108.59
24	95.83%	100.88
43	95.35%	99.49
44	97.73%	102.93
32	96.88%	101.41
17	100%	93.41
37	97.30%	93.89
32	100%	97.56
28	100%	98.36
33	93.94%	103.27
22	95.45%	96.41
25	100%	100.68
33	96.97%	100.12
31	90.32%	104.45
28	96.43%	104.71
22	100%	97.14
36	97.22%	101.42
47	100%	105.98
37	97.30%	116.03
31	93.55%	100.1
29	93.10%	100.45
39	97.44%	100.97
41	97.56%	104.73
41	95.12%	98.76
44	95.45%	103.75
40	97.50%	116.65
37	100%	102.76
26	96.15%	113.15
27	100%	101.41
40	97.50%	100.95
40	100%	102.2
37	97.30%	103.95
34	94.12%	103.53
55	94.55%	103.56
59	96.61%	105.15
59	91.53%	108.8
54	92.59%	111.39
38	94.74%	106.08
47	97.87%	100.89
52	98.08%	101.33
57	92.98%	110.81
39	100%	98.18
37	97.30%	102.65
40	100%	113.6
43	90.70%	113.26
41	97.56%	96.49
50	100%	98.28
46	93.48%	96.96
29	100%	100.93
40	100%	98.73
41	100%	98.85
37	86.49%	98.24
43	90.70%	95.95
52	98.08%	97.6
59	100%	778.29
41	95.12%	102.59
70	100%	96.67
57	100%	97.79
62	100%	97.81
67	97.01%	107.18
80	97.50%	102.75
61	91.80%	99.64
57	96.49%	95.19
88	94.32%	97.48
86	96.51%	570.03
66	93.94%	101.56
57	94.74%	111.25
42	95.24%	111.26
70	88.57%	101.06
62	90.32%	102.74
89	94.38%	107.33
72	95.83%	656.63
60	90%	100.2
64	100%	110.39
65	95.38%	99.85
76	90.79%	104.86
66	95.45%	95.76
81	91.36%	596.54
75	93.33%	100.99
77	96.10%	107.31
87	97.70%	101.69
75	98.67%	103.01
85	98.82%	99.18
83	98.80%	97.07
74	94.59%	99.14
87	96.55%	110.02
99	95.96%	105.62
85	96.47%	112.35
93	95.70%	107.05
105	97.14%	501.1
121	97.52%	432.45
108	97.22%	102.07
113	93.81%	95.6
112	97.32%	102.56
105	92.38%	115.1
107	93.46%	97.39
115	96.52%	102.5
111	99.10%	105.72
109	97.25%	98.58
110	96.36%	99.12
129	99.22%	408.42
156	96.15%	100.65
123	95.12%	427.03
120	91.67%	98.61
132	95.45%	405.57
152	96.05%	96.02
163	97.55%	99.08
152	96.71%	103.34
149	97.32%	99.32
161	95.65%	108.37
159	96.23%	96.3
173	96.53%	335.22
167	97.60%	339.4
156	96.79%	96.72
159	96.86%	354.7
180	96.67%	100.96
162	95.68%	102.48
152	95.39%	360.63
176	94.89%	98.52
197	91.37%	99.79
208	93.27%	97.54
194	95.36%	98.02
186	94.62%	105.14
208	97.60%	290.71
199	94.97%	92.78
246	94.72%	264.31
257	94.55%	259.26
226	95.13%	97.17
234	97.01%	269.26
233	94.85%	93.82
236	97.88%	270.98
267	95.51%	97.55
275	94.91%	97.56
296	95.95%	498.74
279	95.70%	105.99
313	98.40%	95.45
360	97.50%	98.34
340	97.06%	94.68
372	95.70%	96.32
345	97.68%	324.46
347	97.12%	94.51
337	96.44%	337.87
394	95.94%	197.91
399	95.99%	95.03
362	97.79%	96.51
434	96.31%	187.65
456	95.18%	97.34
421	96.67%	90.52
392	96.43%	196.2
423	95.27%	94.35
390	95.64%	95.86
424	97.17%	97.04
493	94.73%	92.7
521	96.74%	168.87
491	96.13%	175.64
536	94.78%	91.15
542	96.13%	244.34
517	96.52%	172.54
510	95.29%	251.7
497	93.96%	258.41
573	96.86%	235.2
576	96.01%	163.98
620	94.68%	290.99
573	95.81%	93.89
576	96.35%	159.15
576	95.83%	93.37
615	95.28%	93.56
738	95.66%	88.67
694	95.97%	151.58
671	95.98%	153.72
645	92.87%	277.31
726	95.45%	144.6
689	95.36%	89.52
768	95.57%	142.9
767	95.31%	88.12
774	95.35%	193.55
802	95.14%	290.27
869	94.82%	133.38
845	96.09%	225.98
822	94.77%	89.84
804	96.27%	89.36
865	95.61%	137.98
824	93.81%	140.58
883	95.92%	90.31
879	94.54%	84.73
796	96.36%	190.55
868	94.12%	88.73
825	95.03%	134.53
872	95.41%	185.24
874	96.22%	84.22
925	96.32%	261.7
895	96.65%	91.31
1029	95.72%	82.9
1074	96.28%	83.23
1045	96.56%	161.26
987	96.35%	4177.94
1132	94.96%	123.33
1069	94.95%	84.58
1126	95.56%	192.01
1160	94.57%	186.88
1132	96.20%	118.3
1076	96%	85.31
1189	94.62%	83.23
1260	96.03%	79.71
1289	95.66%	110.06
1212	95.87%	211.08
1270	95.67%	110.3
1250	95.76%	142.64
1184	96.45%	112.07
1193	96.65%	79.9
1323	95.46%	109.32
1337	95.51%	138.52
1290	95.81%	79.09
1371	95.55%	196.01
1433	95.46%	108.31
1363	96.33%	138.56
1455	95.53%	107.02
1427	94.88%	164.31
1428	96.29%	132.03
1385	96.61%	134.82
1475	94.85%	185.22
1494	95.31%	160.29
1510	95.30%	156.96
1480	95.68%	105.38
1482	95.41%	173.12
1535	95.83%	75.55
1590	95.85%	103.73
1623	94.95%	99.43
1602	95.69%	73.99
1613	95.97%	150.29
1543	96.18%	125.37
1577	95.94%	149.35
1730	95.38%	167.07
1678	95.89%	167.65
1759	95.68%	73.71
1704	96.42%	96.48
1737	96.03%	118.33
1863	96.30%	135.29
1799	95.66%	115.64
1803	96.17%	162.06
1882	94.74%	114.23
1861	94.79%	135.3
1805	94.74%	113.68
1920	95.63%	133.46
1940	96.24%	132.59
2006	95.36%	190.93
1956	95.45%	110.8
1999	95.75%	149.49
2008	94.97%	130.01
2097	96.61%	128.09
2013	96.13%	149.31
1994	96.04%	167.68
2030	95.96%	111
1943	95.63%	110.97
2057	95.38%	89.33
2051	95.32%	4015.2
2004	96.31%	70.9
2004	95.61%	110.49
2126	96.24%	129.73
2156	96.20%	144.58
2150	96.33%	106.4
2268	95.50%	157.63
2218	94.95%	156.12
2218	95.45%	104.74
2270	95.55%	175.34
2254	96.32%	67.44
2265	95.76%	104.34
2317	95.77%	135.94
2308	96.19%	85.24
2311	95.59%	99.81
2356	95.88%	83.36
2353	95.41%	102.24
2345	95.65%	100.31
2315	95.68%	118.58
2389	95.69%	169.47
2368	95.65%	132.92
2457	95.93%	114.35
2460	95.24%	97.69
2434	95.81%	132.31
2407	95.60%	116.86
2415	96.27%	115.15
2486	95.29%	129.77
2453	96.13%	95.98
2484	95.45%	82.76
2493	95.15%	113.88
2484	95.89%	96.35
2482	96.17%	97.5
2501	95.72%	96.61
2437	96.18%	162.43
2570	95.41%	128.49
2481	96.29%	194.3
2443	95.70%	113.86
2526	96%	146.81
2440	95.04%	64.38
2528	96.36%	127.63
2553	95.97%	82.17
2463	94.84%	146.85
2628	95.74%	80.69
2511	95.62%	145.23
2539	95.16%	64.96
2586	96.25%	126.26
2611	95.63%	98.12
2614	95.37%	158.42
2586	95.55%	95.28
2584	95.70%	80.56
2552	95.10%	111.66
2628	94.98%	93.96
2644	95.05%	186.51
2663	95.98%	125.17
2748	95.82%	63.35
2697	95.40%	109.33
2706	96.30%	108.65
2655	96.61%	95.25
2666	95.35%	139.5
2592	94.83%	110.22
2648	96.03%	4640.88
2693	95.92%	169.94
2721	96.32%	93.27
2707	95.86%	123.74
2703	95.97%	78.81
2749	95.60%	122.24
2804	96.33%	121.02
2707	96.01%	108.66
2811	95.02%	124.56
2734	95.76%	138.12
2836	96.65%	91.5
2795	96.21%	134.6
2784	96.41%	123.72
2791	95.84%	191.5
2837	96.09%	119.13
2801	95.43%	77.29
2710	95.83%	153.04
2811	95.84%	92.7
2752	95.82%	107.12
2794	95.85%	106.65
2803	95.04%	77.45
2822	95.82%	119.04
2881	96.25%	90.22
2686	94.75%	91.07
2840	95.88%	90.17
2792	95.92%	90.15
2796	95.46%	119.97
2701	96.15%	137.99
2803	96.15%	106.71
2764	96.53%	77.27
2756	95.94%	119.93
2717	96.14%	107.51
2663	95.98%	93.25
2814	95.31%	93.89
2676	95.59%	94.02
2727	95.31%	122.39
2837	95.59%	77.97
2747	96%	109.21
2810	95.48%	91.35
2831	95.80%	106.6
2745	95.77%	123.89
2752	96.51%	63.27
2772	95.24%	105.45
2854	95.41%	93.09
2706	95.75%	108.64
2747	96.40%	91.62
2814	95.31%	119.46
2723	95.30%	79.2
2787	96.09%	105.15
2785	95.48%	106.13
2819	96.24%	118.83
2755	96.62%	121.8
2713	95.95%	80.09
2779	95.57%	78.82
2717	95.91%	93.7
2745	95.74%	77.47
2675	95.59%	107.57
2726	95.12%	107.3
2729	95.16%	105.4
2683	95.75%	63.24
2711	94.95%	6032.08
2642	95.72%	63.98
2632	96.16%	97.02
2630	95.74%	97.19
2755	95.28%	139.34
2693	95.40%	123.46
2627	96.38%	79.52
2767	95.48%	80.91
2640	95.76%	109.58
2702	95%	138.38
2651	95.78%	109.7
2686	95.53%	111.86
2634	94.87%	145.86
2600	95.42%	95.03
2637	95.64%	124.32
2532	95.81%	128.74
2595	95.84%	93.81
2622	95.58%	95.88
2637	96.44%	78.05
2635	95.94%	77.88
2564	95.98%	111.63
2511	94.78%	97.26
2584	96.09%	126.11
2533	95.50%	110.02
2643	95.23%	94.47
2579	95.46%	124.42
2481	94.72%	78.94
2522	94.73%	95.2
2449	95.22%	80.12
2547	95.64%	95.02
2514	94.79%	64.34
2483	96.34%	64.75
2501	96.08%	80.41
2420	96.57%	147.68
2396	95.83%	81.15
2342	95.64%	98.86
2498	95.52%	81.39
2459	95.20%	96.55
2363	95.81%	114.49
2422	96.57%	81.54
2479	95.85%	81.08
2554	95.89%	129.14
2380	96.30%	116.04
2446	95.05%	97.28
2388	95.44%	147.42
2465	95.33%	113.29
2318	96.16%	66.07
2390	95.94%	97.5
2354	94.90%	83.3
2395	95.45%	99.79
2382	95.68%	150.31
2340	96.24%	84.96
2379	96.34%	100.26
2398	95.37%	99
2363	95.47%	100.7
2361	95.38%	99.62
2352	95.20%	99.5
2296	95.38%	116.67
2386	95.68%	100.07
2418	95.53%	115.86
2307	95.62%	64.65
2292	95.16%	105.53
2279	95.83%	102.14
2319	95.82%	118.39
2269	95.77%	99.92
2220	95.32%	82.96
2280	94.96%	101.69
2209	95.20%	102.1
2250	95.60%	137.19
2306	95.79%	117.93
2265	95.58%	98.56
2266	95.28%	102.39
2243	95.10%	65.31
2239	95.94%	172.76
2232	95.74%	86.24
2246	96.26%	65.28
2303	95.66%	84.33
2244	95.41%	122.57
2366	95.56%	83.83
2290	95.85%	101.54
2317	95.60%	103.68
2262	95.27%	85.39
2366	95.27%	98.58
2281	95.27%	120.99
2281	94.91%	102.81
2284	95.58%	103.76
2344	95.86%	82.22
2273	95.95%	100.65
2314	95.64%	116.85
2319	96.08%	98.46
2357	94.70%	64.7
2347	95.36%	98.84
2237	95.40%	101.54
2328	95.45%	119.38
2275	95.08%	103.22
2329	95.15%	81.75
2282	95.66%	119.84
2336	94.69%	187
2343	95.31%	97.52
2332	96.23%	98.88
2318	95.51%	100.16
2231	95.25%	83.67
2245	95.32%	84.4
2305	95.62%	101.05
2195	95.49%	65.97
2241	95.76%	67.14
2266	95.63%	117.23
2234	96.33%	82.4
2287	95.15%	116.82
2326	94.67%	134.35
2352	95.75%	115.93
2344	95.56%	133.47
2291	95.15%	101.35
2276	95.43%	81.74
2277	95.78%	170.86
2266	95.45%	100.93
2231	96.19%	82.58
2301	95.48%	136.03
2300	94.96%	102.29
2246	96.08%	63.31
2316	96.03%	64.06
2296	96.17%	100.77
2350	96.34%	82.91
2398	96.08%	97.79
2385	95.68%	115.61
2442	95.54%	165.55
2382	96.18%	82.78
2274	95.43%	64.65
2448	96.24%	115.35
2464	96.59%	99.63
2343	96.16%	114.73
2435	95.73%	100.03
2322	95.43%	133.78
2408	94.68%	82.02
2387	94.64%	98.95
2453	95.07%	82.12
2362	95.55%	117.43
2444	95.87%	114.79
2328	96.01%	115.83
2416	95.78%	131.1
2351	96%	136.46
2410	95.27%	83.69
2368	95.73%	150.75
2435	95.81%	112.22
2431	94.65%	82.58
2384	95.43%	80.52
2385	95.30%	130.69
2445	96.07%	82.05
2287	96.20%	98.17
2529	96.32%	80.6
2498	95.60%	131.31
2597	96.50%	140.37
2472	95.63%	79.98
2465	95.78%	113.66
2529	95.26%	127.13
2540	95.91%	80.88
2507	95.89%	129.83
2501	96.08%	110.84
2532	95.30%	79.64
2624	95.66%	109.63
2582	96.01%	108.85
2474	95.59%	111.57
2551	96.51%	149.43
2571	94.71%	124.51
2489	95.86%	62.5
2557	95.70%	78.27
2515	95.67%	127.82
2469	95.83%	146.11
2613	94.95%	79.69
2590	95.33%	125.92
2586	94.62%	79.3
2564	95.44%	124.7
2580	95.16%	110.41
2518	95.27%	111.05
2592	94.64%	109.03
2605	94.66%	109.62
2541	94.14%	125.99
2542	95.32%	124.93
2590	95.95%	155.21
2610	95.86%	92.56
2544	95.52%	4825.71
2533	94.79%	81.15
2702	95.26%	123.79
2614	95.18%	93.86
2595	95.72%	93.7
2610	95.21%	138.61
2647	95.20%	125.13
2614	95.49%	94.43
2682	95.19%	138.19
2694	95.73%	92.68
2595	95.80%	107.87
2641	96.02%	123.91
2617	95.34%	123.81
2616	95.64%	110.93
2574	96.54%	63.28
2684	96.01%	107.96
2610	95.90%	109.08
2643	95.42%	123.29
2672	95.47%	138.65
2633	95.78%	107.81
2652	95.93%	107.95
2635	96.43%	107.93
2622	96%	108.3
2682	96.09%	76.13
2634	95.82%	78.99
2756	95.36%	121.93
2632	96.12%	154.04
2722	96.03%	106.09
2657	95.14%	92.15
2670	95.96%	122.49
2591	96.18%	93.09
2672	96%	108.43
2594	95.61%	123.93
2651	94.95%	78.09
2684	94.34%	196.76
2745	95.37%	107.35
2639	95.60%	96.1
2676	95.78%	122.93
2641	95.42%	124.2
2637	95.56%	110.05
2761	95.83%	93.91
2720	95.18%	152.93
2650	94.91%	76.87
2729	95.64%	91.7
2754	95.97%	94.64
2685	96.31%	110.42
2676	94.43%	124.53
2720	95.48%	137.19
2682	95.49%	77.66
2582	95%	94.21
2707	96.05%	93.2
2651	95.59%	108.15
2721	95.92%	150.47
2661	96.09%	121.2
2619	95.80%	107.28
2663	95.23%	92.21
2565	94.15%	95.98
2664	95.05%	63.91
2661	94.96%	76.87
2652	94.83%	95.87
2666	95.01%	6124.41
2689	95.72%	93.83
2644	95.27%	109.93
2669	95.09%	77.71
2596	95.22%	187.85
2625	94.90%	108.17
2542	96.07%	128.18
2694	95.66%	175.87
2678	96%	151.79
2606	95.17%	96.51
2653	95.97%	95.66
2737	94.92%	150.75
2648	95.92%	93.56
2751	95.31%	105.33
2749	94.94%	93.52
2727	94.79%	108.76
2682	95.04%	109.4
2694	95.95%	95.94
2661	96.05%	92.56
2745	96.54%	120.37
2714	96.20%	92.66
2692	95.43%	151.9
2656	95.86%	124.36
2656	96.16%	124.14
2655	95.97%	146.1
2816	95.13%	118.84
2757	95.54%	91.59
2573	95.84%	140.1
2641	95.34%	122.44
2660	95.90%	124.98
2591	95.48%	108.78
2651	95.47%	106.93
2622	95.92%	121.95
2658	95.60%	108.05
2738	95.43%	106.41
2708	94.72%	143.41
2666	95.50%	92.31
2709	96.05%	107.08
2694	96.03%	94.63
2725	95.74%	91.6
2701	95.41%	64.74
2769	96.14%	123.29
2667	95.39%	138.64
2692	95.58%	106.49
2647	95.43%	77.73
2626	95.96%	107.64
2676	96.52%	123.01
2694	95.81%	122.15
2688	95.16%	76.18
2614	96.06%	107.56
2674	95.21%	109.78
2636	95.49%	94.83
2575	95.77%	78.31
2576	95.81%	124.39
2595	96.11%	92.37
2669	95.58%	108.45
2625	95.62%	101.33
2699	95.59%	106.77
2613	96.10%	93.03
2617	95.49%	93.95
2614	95.68%	6245.61
2583	95.51%	78.06
2555	96.09%	143.15
2700	95.19%	91.14
2742	95.48%	134.89
2550	96.24%	111.67
2639	95.53%	124.02
2623	95.62%	63.63
2630	95.70%	78.45
2616	95.68%	94.87
2660	95.79%	136.84
2727	95.49%	153.38
2706	95.53%	106.9
2637	95.98%	94.71
2612	96.13%	124.91
2732	96.01%	152.19
2650	95.43%	91.93
2521	95.08%	97.33
2579	95.70%	96.46
2614	95.75%	77.94
2652	96.04%	92.34
2712	96.13%	106.09
2593	96.10%	124.39
2594	96.18%	109.51
2597	96%	93.11
2571	96.19%	95.92
2643	95.80%	94.25
2597	96.03%	79.64
2538	96.02%	156.52
2605	96.05%	108.19
2610	96.36%	125.05
2619	95.42%	93.16
2566	95.71%	126.25
2522	95.36%	127.39
2532	95.06%	111.06
2580	94.92%	124.47
2462	95.78%	94.53
2510	94.78%	110.85
2498	95.68%	94.74
2520	96.31%	126.74
2511	95.14%	95.64
2452	95.84%	79.2
2545	95.99%	141.64
2512	95.42%	63.16
2520	95.60%	127.84
2483	95.41%	112.3
2552	95.49%	109.67
2391	94.48%	62.53
2615	95.49%	80.11
2552	95.38%	79.96
2554	96.28%	77.13
2476	94.79%	96.93
2535	96.09%	81.13
2490	95.86%	95.62
2318	96.16%	113.37
2330	95.36%	98.66
2385	95.43%	98.54
2419	95.16%	79.42
2432	95.93%	81.31
2322	95.87%	83.08
2462	96.34%	6627.02
2375	95.87%	166.4
2376	95.88%	115.24
2329	95.79%	150.31
2308	96.40%	98.97
2363	96.49%	98.95
2385	95.43%	132.84
2413	96.06%	113.71
2320	96.38%	98.28
2388	95.85%	66.57
2423	94.72%	114.49
2297	95.78%	134.28
2346	95.65%	202.59
2259	95.22%	82.52
2381	96.01%	132.21
2313	94.51%	63.78
2210	95.38%	102.01
2312	96.06%	100.27
2200	96.68%	84.15
2389	96.15%	149.94
2171	95.76%	142.29
2302	96.09%	81.59
2258	95.22%	83.33
2209	95.84%	120.25
2288	96.20%	83.01
2264	95.85%	81.96
2209	94.88%	100.68
2234	95.61%	101.08
2248	96.40%	101.03
2274	95.73%	67.4
2185	95.33%	138.46
2191	95.07%	105.08
2128	95.44%	85.22
2123	95.71%	104.48
2115	96.45%	104.9
2146	96.32%	105.59
2114	95.98%	87.58
2103	95.39%	144.52
2045	95.40%	146.15
2065	95.64%	126.25
2121	95.38%	105.63
2093	94.55%	89.99
2043	94.86%	127.79
2045	95.60%	88.2
1997	95.64%	128.85
1982	95.01%	65.19
1930	95.28%	111.36
1940	95.82%	129.74
1971	95.89%	105.97
1924	95.17%	87.51
1887	94.91%	111.41
1923	95.22%	110.23
1845	95.77%	92.55
1877	94.99%	135.3
1891	96.19%	156.07
1821	95.44%	114.59
1833	96.18%	203.01
1833	95.53%	114.46
1835	95.86%	96.19
1820	96.21%	160.1
1909	95.34%	6417.31
1820	95.88%	95.91
1789	95.36%	95.73
1845	94.91%	114.27
1876	95.84%	134.76
1773	96.28%	117.85
1792	96.71%	116.8
1841	96.41%	112.88
1791	94.97%	70.43
1753	94.58%	164.08
1747	94.68%	119.79
1769	95.93%	165.34
1774	94.36%	94.45
1716	96.04%	119.32
1671	95.33%	120.93
1693	95.51%	144.63
1644	95.86%	73.47
1637	95.60%	122.28
1682	95.60%	98.13
1687	95.67%	96.97
1572	96.69%	149.24
1630	95.71%	73.11
1604	96.32%	97
1578	95.75%	128.53
1641	95.06%	99.97
1623	95.01%	98.35
1598	95.87%	147.12
1650	96.55%	96.61
1669	95.99%	73.56
1657	96.56%	99.06
1531	95.04%	126.04
1512	95.17%	100.95
1596	96.55%	74.34
1625	96.06%	72.51
1626	95.82%	121.03
1548	95.74%	100.25
1619	95.31%	98.51
1538	95.58%	178.62
1607	96.45%	125.99
1575	96.25%	99.83
1503	96.27%	100.8
1558	96.21%	127.68
1577	96.07%	174.72
1541	94.81%	127.12
1571	95.48%	151.97
1580	95.82%	152.22
1585	96.21%	153.01
1513	95.84%	73.7
1509	95.49%	180.16
1527	94.96%	123.29
1469	94.49%	132.81
1580	96.14%	151.28
1562	96.35%	126.48
1466	95.63%	104.37
1542	96.17%	128.48
1502	96.14%	104.03
1551	96.58%	74.34
1490	96.38%	152.94
1621	95.62%	147.58
1608	96.27%	147.43
1566	95.98%	7818.8
1566	95.72%	128.39
1588	96.41%	76.82
1604	95.39%	228.62
1571	96.05%	150.36
1610	95.34%	98.61
1514	95.11%	154.46
1493	94.98%	182
1586	96.09%	151.65
1545	95.47%	128.67
1571	94.53%	150.89
1563	95.27%	72.91
1443	96.12%	156.95
1521	95.99%	127.31
1552	95.23%	152.08
1529	95.88%	233.54
1555	95.37%	126.24
1569	95.98%	150.34
1426	96.42%	214.16
1521	94.87%	232.72
1522	94.61%	129.44
1536	95.05%	102.96
1557	95.44%	125.89
1500	95.80%	74.36
1556	96.27%	123.36
1569	95.92%	150.35
1537	93.88%	101.06
1521	95.53%	181.07
1379	96.52%	163.02
1431	95.32%	155.76
1480	95.74%	155.78
1438	95.76%	76.07
1469	94.28%	104.44
1410	96.24%	77.25
1541	95.85%	128.67
1483	95.55%	128.61
1493	95.04%	183.75
1499	96.33%	101.85
1436	96.87%	187.81
1495	96.39%	155.33
1534	95.89%	130.23
1488	95.36%	75.92
1494	95.92%	99.78
1361	95.74%	109.73
1450	96.21%	132.82
1494	95.98%	102.57
1454	95.46%	160.32
1402	95.36%	164.29
1421	95.71%	160.44
1414	96.18%	160.18
1471	95.79%	104.04
1447	95.85%	105.13
1418	95.84%	135.03
1372	95.99%	164.88
1361	96.03%	78.42
1406	95.59%	131.38
1414	95.33%	131.65
1333	95.87%	107.64
1372	96.06%	106.69
1359	95.73%	80.55
1303	95.40%	9380.41
1308	95.72%	143.85
1371	95.11%	78.8
1396	95.77%	137.1
1353	95.79%	168.63
1454	95.53%	135.43
1243	94.77%	113.3
1373	96.80%	197.56
1385	95.67%	134.06
1409	94.75%	107.79
1305	95.17%	139.14
1353	95.42%	79.94
1335	96.33%	167.54
1282	94.46%	140.02
1311	95.88%	76.04
1301	95.39%	141.47
1264	96.04%	78.48
1298	96.30%	109.4
1233	95.05%	79.2
1250	95.04%	107.58
1274	95.84%	111.38
1255	96.57%	112.84
1300	95.31%	143.64
1286	96.42%	112.98
1211	95.95%	150.11
1248	95.35%	145.53
1195	94.98%	79.74
1227	96.09%	113.4
1192	95.13%	79.1
1200	96.08%	143.44
1270	93.86%	138.54
1242	94.61%	114.66
1285	94.94%	146.99
1288	95.57%	110.06
1257	95.15%	80.75
1199	94.91%	148.78
1301	95.47%	144.62
1188	95.71%	148.94
1146	96.42%	186.58
1114	94.61%	115.22
1192	96.31%	179.6
1203	95.43%	112.95
1138	95.34%	77.75
1170	96.58%	115.6
1111	95.50%	115.55
