volumn	rate	time
21	100%	101.1
14	92.86%	101.5
26	96.15%	100.46
25	92%	99.08
27	100%	101.37
13	100%	98.31
33	93.94%	100.79
21	95.24%	103.14
16	93.75%	103.94
20	100%	132.05
34	94.12%	116.47
32	87.50%	103.72
35	100%	102.91
21	100%	103.86
25	96%	100.76
20	100%	104.65
18	100%	4546.06
31	96.77%	103.23
27	96.30%	101.7
22	95.45%	107.18
35	100%	99.37
41	97.56%	104.07
36	94.44%	100.58
18	94.44%	95.94
22	95.45%	120.68
27	100%	101.41
43	95.35%	119
39	92.31%	118.85
46	95.65%	110.87
35	97.14%	108.46
53	96.23%	103.32
34	85.29%	102.76
29	82.76%	107.38
50	92%	121.28
53	90.57%	103.83
55	94.55%	101.91
42	95.24%	102.95
33	96.97%	109.67
43	97.67%	102.53
24	91.67%	102.38
35	94.29%	97.69
43	97.67%	102.16
44	93.18%	109.86
67	94.03%	103.04
41	97.56%	107.07
34	94.12%	96.38
65	86.15%	96.98
53	88.68%	855.92
60	98.33%	765.32
49	95.92%	103.43
66	98.48%	113.89
56	100%	97.57
64	98.44%	99.69
66	93.94%	99.12
67	95.52%	105.18
68	97.06%	113.29
74	93.24%	102.8
62	90.32%	102.63
71	95.77%	101.25
70	95.71%	100.36
60	100%	100.47
63	98.41%	99.3
88	96.59%	99.95
94	96.81%	100.07
86	97.67%	99.94
101	90.10%	496.12
108	94.44%	104.99
107	98.13%	100.73
123	96.75%	97.07
118	95.76%	449.17
114	97.37%	104.03
97	97.94%	513.15
122	94.26%	428.88
115	96.52%	102.26
108	97.22%	99.79
110	97.27%	466.06
167	98.20%	102.07
127	97.64%	102.77
136	95.59%	100.84
147	96.60%	101.35
155	95.48%	356.3
166	95.18%	98.02
136	94.85%	395.36
180	96.11%	325.51
157	97.45%	99.71
189	95.77%	96.48
182	97.25%	115.18
193	96.37%	101.98
200	97%	100.41
215	94.88%	106.43
198	95.96%	102.77
195	96.41%	301.78
191	98.43%	97.47
196	95.92%	102.62
252	97.22%	256.33
192	94.27%	102.71
201	98.51%	292.68
234	94.02%	17362
229	95.20%	271.1
274	96.72%	243.91
241	92.53%	265.95
228	93.86%	100.45
252	98.02%	96.09
276	97.46%	103.13
311	97.11%	226.85
324	94.75%	96.93
296	96.96%	230.79
313	96.17%	227.61
298	95.97%	368.18
311	97.75%	222.45
306	98.04%	355.6
312	96.79%	103.1
315	96.83%	100.18
333	96.70%	111.97
357	94.96%	218.16
303	97.03%	102.41
347	95.10%	99.06
396	95.45%	92.5
393	95.67%	89.69
405	95.31%	392.48
399	94.74%	398.75
455	96.04%	182.65
436	96.56%	91.73
441	94.10%	93.09
400	96.25%	194.06
438	96.35%	94.5
457	95.84%	178.29
451	96.45%	180.73
444	96.62%	90.03
521	94.24%	168.19
519	95.95%	321.46
444	97.75%	91.49
433	94.46%	183.61
557	95.69%	159.76
517	96.13%	88.56
522	95.98%	90.66
508	95.28%	89.89
522	94.44%	320.26
538	95.91%	91.18
548	95.44%	161.89
623	95.99%	91.7
584	96.75%	92.35
591	96.62%	157.35
684	95.91%	87.08
598	96.15%	226.76
623	97.43%	154.27
590	97.12%	156.79
609	97.04%	87.68
635	97.01%	156.44
590	94.58%	159.42
557	96.41%	233.32
647	95.52%	150.34
583	95.20%	86.82
655	96.18%	92.33
653	93.87%	147.2
678	96.02%	206.87
609	96.22%	92.91
609	96.88%	91.22
680	96.47%	205.87
691	95.37%	145.57
645	96.59%	272.71
746	96.78%	138.51
665	96.69%	85.94
709	95.77%	85.81
715	95.10%	81.09
784	95.28%	135.13
729	95.88%	84.69
735	95.10%	85.81
717	96.23%	145.23
776	97.16%	289.75
766	95.95%	242.76
767	94.92%	83.46
861	95.24%	128.25
787	96.70%	133.13
800	94.88%	84.83
802	95.26%	282.32
804	95.77%	131.35
757	94.98%	136.18
762	96.06%	187.9
857	96.50%	126.4
